iteration,v1_log,alpha_log
10,-0.08115955023942037,0.18419520333646036,
20,1.3902235121712976,0.03538315270989839,
30,1.5041035627581947,0.03499506078815746,
40,1.6119549806809372,0.0027316842972950495,
50,1.6119549806809372,0.0027316842972950495,
60,1.6119549806809372,0.0027316842972950495,
70,1.6119549806809372,0.0027316842972950495,
80,-2.239415949911689,0.3946170974694126,
90,-2.2612310381320575,0.4498558825354323,
100,-2.33428872224583,0.49183225704002403,
110,-2.33428872224583,0.49183225704002403,
120,-2.33428872224583,0.49183225704002403,
130,-2.33428872224583,0.49183225704002403,
140,-2.33428872224583,0.49183225704002403,
150,-2.33428872224583,0.49183225704002403,
160,-2.33428872224583,0.49183225704002403,
170,-2.363113219834151,0.5053674937539635,
180,-2.363113219834151,0.5053674937539635,
190,-2.4721499061725964,0.5623487236433634,
200,-2.4721499061725964,0.5623487236433634,
