iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
10,1.5879609402385082,0.006619856421510103,T,No DR,1.0000
20,1.6321120381230827,-0.04042714041826139,T,No DR,1.0000
30,1.6766547695203058,-0.04627855146407721,T,No DR,1.0000
40,1.6862457766742773,-0.05533299178901342,T,No DR,1.0000
50,1.6914521147447081,-0.0738839592908045,T,No DR,1.0000
60,1.6914521147447081,-0.0738839592908045,T,No DR,1.0000
70,1.7014145896636266,-0.10060005639636473,T,No DR,1.0000
80,1.7205974893166256,-0.1157512729825646,T,No DR,1.0000
90,1.7205974893166256,-0.1157512729825646,T,No DR,1.0000
100,1.7205974893166256,-0.1157512729825646,T,No DR,1.0000
110,1.7205974893166256,-0.1157512729825646,T,No DR,1.0000
120,1.7205974893166256,-0.1157512729825646,T,No DR,1.0000
130,1.7205974893166256,-0.1157512729825646,T,No DR,1.0000
140,1.7205974893166256,-0.1157512729825646,T,No DR,1.0000
150,1.7205974893166256,-0.1157512729825646,T,No DR,1.0000
160,1.7205974893166256,-0.1157512729825646,T,No DR,1.0000
170,1.7112268911391761,-0.09570379911497073,T,No DR,1.0000
180,1.7112268911391761,-0.09570379911497073,T,No DR,1.0000
190,1.7112268911391761,-0.09570379911497073,T,No DR,1.0000
200,1.7112268911391761,-0.09570379911497073,T,No DR,1.0000
