iteration,v1_log,alpha_log,status,delayed_rejection,acceptance_rate
10,-0.016187946187127045,0.01044524203280256,T,No DR,1.0000
20,0.18126189269001738,0.018076961115926448,T,No DR,1.0000
30,0.18504542748926842,0.007225021244696234,T,No DR,1.0000
40,0.3904756238635839,0.0005122763204717527,T,No DR,1.0000
50,0.6079191974474911,0.00633513888757721,T,No DR,1.0000
60,1.2181526426064861,0.009631992102879527,T,No DR,1.0000
70,1.6344469665582262,0.013349597088740724,T,No DR,1.0000
80,1.5275229463223448,0.003925237533379319,T,No DR,1.0000
90,1.5275229463223448,0.003925237533379319,T,No DR,1.0000
100,1.5275229463223448,0.003925237533379319,T,No DR,1.0000
110,1.5275229463223448,0.003925237533379319,T,No DR,1.0000
120,1.5275229463223448,0.003925237533379319,T,No DR,1.0000
130,1.5265329514223442,0.0014172067204566872,T,No DR,1.0000
140,1.5265329514223442,0.0014172067204566872,T,No DR,1.0000
150,1.5265329514223442,0.0014172067204566872,T,No DR,1.0000
160,1.5265329514223442,0.0014172067204566872,T,No DR,1.0000
170,-1.5920965395393627,0.0834824716605572,T,No DR,1.0000
180,-1.6271532873005126,0.09843942916912314,T,No DR,1.0000
190,-1.629546175186395,0.12152469509390171,T,No DR,1.0000
200,-1.629546175186395,0.12152469509390171,T,No DR,1.0000
