iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
1,-0.5860109062750488,-0.04450395074188045,Invalid,No DR,0.0
2,-0.8551935571751692,-0.18652524591358424,Invalid,No DR,0.0
3,-0.9227702150248067,-0.1533079809489062,Invalid,No DR,0.0
4,-0.15012837984648342,-0.1118929838194623,Invalid,No DR,0.0
5,0.45761948391196183,-0.056851566032385434,Invalid,No DR,0.0
6,1.516768831658804,-0.08947499047920969,Invalid,No DR,0.0
7,0.43872698624483863,-0.004766270315246332,Invalid,No DR,0.0
8,1.1906212291550071,-0.3090776264211002,Invalid,No DR,0.0
9,0.7168044969952456,-0.5178060182784024,Invalid,No DR,0.0
10,0.8586807230054647,-0.9108343077804223,Invalid,No DR,0.0
11,0.4377300952989022,-0.9978229907962326,Invalid,No DR,0.0
12,1.0892128320423133,-0.8514810970151865,Invalid,No DR,0.0
13,-0.16084678513454986,-0.7145200351820219,Invalid,No DR,0.0
14,0.14231604563936112,-0.7714136671120747,Invalid,No DR,0.0
15,-0.19428855886972674,-0.8700764278675597,Invalid,No DR,0.0
16,-1.8303572455788806,-0.8486214201973621,Invalid,No DR,0.0
17,-2.080620909128677,-1.057031213442742,Invalid,No DR,0.0
18,-1.4472696624139214,-0.9835974838072575,Invalid,No DR,0.0
19,-1.1068710026269237,-0.8926103574289689,Invalid,No DR,0.0
20,-0.15996691036679844,-1.159005812485025,Invalid,No DR,0.0
21,-1.7442654065124024,-0.6878710441627492,Invalid,No DR,0.0
22,-0.9307724528432019,-1.380479808178572,Invalid,No DR,0.0
23,2.1198252135774056,-1.1453870754733624,Invalid,No DR,0.0
24,2.3177045502846116,-0.6760231806961936,Invalid,No DR,0.0
25,1.6748851462634375,-0.9245524772525331,Invalid,No DR,0.0
26,2.0703809337919536,-0.9023727666218118,Invalid,No DR,0.0
27,1.6906327309509157,-0.7722008413993342,Invalid,No DR,0.0
28,4.447734411057161,-1.0835485209669264,Invalid,No DR,0.0
29,6.062003836213287,-1.0164252100704032,Invalid,No DR,0.0
30,6.080845684541218,-1.7090979897008314,Invalid,No DR,0.0
31,9.037418982733962,-1.5400900316230155,Invalid,No DR,0.0
32,4.923144690689848,-1.9314365330015288,Invalid,No DR,0.0
33,3.028468395889562,-1.9580728885094318,Invalid,No DR,0.0
34,0.7632217204648919,-1.0702586064540414,Invalid,No DR,0.0
35,-0.6937177926418119,-0.7169171735789535,Invalid,No DR,0.0
36,0.5205497989034675,-1.260109863606814,Invalid,No DR,0.0
37,6.564907337919948,-2.437150912908762,Invalid,No DR,0.0
38,9.675700744809678,-2.5289309547915204,Invalid,No DR,0.0
39,9.368221800073684,-3.169338917768678,Invalid,No DR,0.0
40,8.534464652669186,-3.5117802896974943,Invalid,No DR,0.0
41,6.377223857944459,-4.147888538979118,Invalid,No DR,0.0
42,9.62969536837224,-7.120092175497448,Invalid,No DR,0.0
43,5.283480104835987,-4.624238367604668,Invalid,No DR,0.0
44,7.7277786060972415,-4.0192649210861,Invalid,No DR,0.0
45,6.064912407829988,-2.74808483624869,Invalid,No DR,0.0
46,9.63011703279201,-4.5041016144218995,Invalid,No DR,0.0
47,2.81836730330627,-6.226344984924338,Invalid,No DR,0.0
48,10.161789732680214,-7.992815552105253,Invalid,No DR,0.0
49,8.121931584743175,-8.877170220479186,Invalid,No DR,0.0
50,7.3433607955721945,-9.678095906844655,Invalid,No DR,0.0
51,8.562651871690182,-14.221708782528538,Invalid,No DR,0.0
52,7.585630144000514,-7.931417335432491,Invalid,No DR,0.0
53,-0.8163905494969681,-1.4022901617535455,Invalid,No DR,0.0
54,-0.8163905494969681,-1.4022901617535455,Invalid,No DR,0.0
55,-0.045796476138901365,-0.6668287424911107,Invalid,No DR,0.0
56,4.313120569473444,-5.742185860660966,Invalid,No DR,0.0
57,13.561853025243726,-7.012361341551033,Invalid,No DR,0.0
58,19.697276237451284,-6.778588449916478,Invalid,No DR,0.0
59,16.332790571799208,-7.4326574132073535,Invalid,No DR,0.0
60,15.557995731261192,-8.228960232470492,Invalid,No DR,0.0
61,9.207805790568766,-2.81310680511458,Invalid,No DR,0.0
62,2.8015724808158726,-0.4612249744132977,Invalid,No DR,0.0
63,2.8015724808158726,-0.4612249744132977,Invalid,No DR,0.0
70,-9.692986242089875,5.022996039856742,T,No DR,0.1000
80,-5.229985924234653,0.5544075204120205,T,No DR,0.2125
90,-5.229985924234653,0.5544075204120205,T,No DR,0.3000
100,-5.229985924234653,0.5544075204120205,T,No DR,0.3700
