iteration,lambda1,lambda2,accepted,delayed_rejection
10,0.6290524973050194,0.03770615627429787,T,No DR
20,1.4265410697784309,0.0397423578602019,T,No DR
30,1.5221966924902561,0.027831099363628785,T,No DR
40,1.5221966924902561,0.027831099363628785,T,No DR
50,1.6422639683766664,0.005384218141003649,T,No DR
60,1.6422639683766664,0.005384218141003649,T,No DR
70,1.5039437500777266,0.00545433025016024,T,No DR
80,1.5039437500777266,0.00545433025016024,T,No DR
90,1.5039437500777266,0.00545433025016024,T,No DR
100,1.5039437500777266,0.00545433025016024,T,No DR
