iteration,lambda1,lambda2,accepted
10,-0.5941144290857131,0.007338758343111682,T
20,-1.9850368011855162,0.1923949242351214,T
30,-1.906401234260589,0.19150258579637286,T
40,-1.881034866661847,0.19162364374954166,T
50,-1.9981777827796625,0.24364065022441678,T
60,-1.9981777827796625,0.24364065022441678,T
70,-2.181726704175682,0.397097794247915,T
80,-2.482057548838366,0.6050944531151321,T
90,-2.482057548838366,0.6050944531151321,T
100,-3.1663865811027634,1.217934450578386,T
110,-2.990702725429357,1.0634277501567888,T
120,-2.990702725429357,1.0634277501567888,T
130,-2.990702725429357,1.0634277501567888,T
140,-2.990702725429357,1.0634277501567888,T
150,-3.0384405012807245,1.095037237774204,T
160,-3.3244502724115863,1.4268125189267988,T
170,-3.3244502724115863,1.4268125189267988,T
