iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
1,0.3037208130436473,-0.002063836968121456,Invalid,No DR,0.0
2,1.3362353004475542,-0.2968147209890448,Invalid,No DR,0.0
3,1.0755950947729813,-0.3127712552169642,Invalid,No DR,0.0
4,2.1201166074520215,-0.21812273268097537,Invalid,No DR,0.0
5,2.1469105262594357,-0.5896711517042124,Invalid,No DR,0.0
6,1.893101297577131,-0.630186472404233,Invalid,No DR,0.0
7,1.204604664485534,-0.8065847533590771,Invalid,No DR,0.0
8,2.629043468073065,-0.9685002372007417,Invalid,No DR,0.0
9,2.1814496084107153,-1.005632022379223,Invalid,No DR,0.0
10,1.7381895061846322,-0.7373260988039936,Invalid,No DR,0.0
11,1.362547226171007,-1.0785190048537037,Invalid,No DR,0.0
12,3.021137959249721,-1.0650112055390877,Invalid,No DR,0.0
13,2.0257694205163856,-0.9093582300378589,Invalid,No DR,0.0
14,2.9144031660008194,-0.6759249131475228,Invalid,No DR,0.0
15,2.997567631380772,-0.7469738754454162,Invalid,No DR,0.0
16,2.867290028552287,-0.9156250293744217,Invalid,No DR,0.0
17,2.5135144813903336,-1.0318117127283724,Invalid,No DR,0.0
18,3.3379149338828755,-1.2739606132032562,Invalid,No DR,0.0
19,3.344490606711011,-1.1834621176153437,Invalid,No DR,0.0
20,3.402106034746084,-1.4883385416079955,Invalid,No DR,0.0
21,5.029973517705241,-1.8070052523453228,Invalid,No DR,0.0
22,3.6367140927575603,-1.9381484729441771,Invalid,No DR,0.0
23,2.615571853451527,-1.2559446371795604,Invalid,No DR,0.0
24,3.681695245746,-1.4459271563996623,Invalid,No DR,0.0
25,1.9684788053499598,-0.8940942108149793,Invalid,No DR,0.0
26,0.18591192375444576,-0.68146306135416,Invalid,No DR,0.0
27,0.09620160053042373,-0.5849366393418672,Invalid,No DR,0.0
28,-0.7134053158883771,-0.46081240070327645,Invalid,No DR,0.0
29,1.122720038434723,-1.4544167903686376,Invalid,No DR,0.0
30,-0.18722339651018483,-0.8393732362967098,Invalid,No DR,0.0
31,-1.4618919690809373,-1.9093852620622367,Invalid,No DR,0.0
32,-0.7274777989544341,-1.8522882473658613,Invalid,No DR,0.0
33,4.1819978779580484,-1.4940906770204907,Invalid,No DR,0.0
34,4.1819978779580484,-1.4940906770204907,Invalid,No DR,0.0
35,-0.8015343343975703,-1.190826932974478,Invalid,No DR,0.0
36,-2.2926665118649865,-1.6436599790067863,Invalid,No DR,0.0
37,-1.6975894150694553,-3.0903875855059777,Invalid,No DR,0.0
38,-1.6500985573351292,-3.7626754989249056,Invalid,No DR,0.0
39,-4.3803360905484015,-3.2902819678760853,Invalid,No DR,0.0
40,-1.9616738809849168,-3.4564347791341694,Invalid,No DR,0.0
41,-5.879213667357236,-3.9690042666930427,Invalid,No DR,0.0
42,-3.593112276511805,-3.5806340828760623,Invalid,No DR,0.0
43,-3.5412835903168975,-3.385210054402623,Invalid,No DR,0.0
44,-4.077406716369833,-1.7570192644043154,Invalid,No DR,0.0
45,-3.7620070799276877,-2.633611127715888,Invalid,No DR,0.0
46,-5.251830649131047,-1.8696327551452503,Invalid,No DR,0.0
47,-1.726024744808035,-0.1472054569699659,Invalid,No DR,0.0
48,-2.088642426971645,-0.138954499148873,Invalid,No DR,0.0
49,-2.088642426971645,-0.138954499148873,Invalid,No DR,0.0
50,-2.088642426971645,-0.138954499148873,Invalid,No DR,0.0
51,-3.553162117950185,-1.1948094830398333,Invalid,No DR,0.0
60,-5.2174364318039075,0.6279942824508711,T,No DR,0.1500
70,-5.2174364318039075,0.6279942824508711,T,No DR,0.2714
80,-5.052549599806114,0.3532053878810113,T,No DR,0.3625
90,-5.052549599806114,0.3532053878810113,T,No DR,0.4333
100,-5.052549599806114,0.3532053878810113,T,No DR,0.4900
