iteration,lambda1,lambda2,accepted,delayed_rejection,reason
10,1.674789440731412,-0.042381156205416964,T,No DR,Normal
20,1.6760099057733346,-0.05023161690901794,T,No DR,Normal
30,1.6760099057733346,-0.05023161690901794,T,No DR,Normal
40,1.6760099057733346,-0.05023161690901794,T,No DR,Normal
50,1.6884726457939412,-0.061505817440146576,T,No DR,Normal
60,1.6884726457939412,-0.061505817440146576,T,No DR,Normal
70,1.6884726457939412,-0.061505817440146576,T,No DR,Normal
80,1.6884726457939412,-0.061505817440146576,T,No DR,Normal
90,1.6960539695573968,-0.0676727716405521,T,No DR,Normal
100,1.6958154397670542,-0.07379105697825182,T,No DR,Normal
