1: T, Delayed rejection: No DR
2: T, Delayed rejection: No DR
3: T, Delayed rejection: No DR
4: T, Delayed rejection: No DR
5: T, Delayed rejection: No DR
6: T, Delayed rejection: No DR
7: T, Delayed rejection: No DR
8: T, Delayed rejection: No DR
9: T, Delayed rejection: No DR
10: T, Delayed rejection: No DR
11: T, Delayed rejection: No DR
12: T, Delayed rejection: No DR
13: T, Delayed rejection: No DR
14: T, Delayed rejection: No DR
15: T, Delayed rejection: No DR
16: T, Delayed rejection: No DR
17: T, Delayed rejection: No DR
18: T, Delayed rejection: No DR
19: T, Delayed rejection: No DR
20: T, Delayed rejection: No DR
21: T, Delayed rejection: No DR
22: T, Delayed rejection: No DR
23: T, Delayed rejection: No DR
24: T, Delayed rejection: No DR
25: T, Delayed rejection: No DR
26: T, Delayed rejection: No DR
27: T, Delayed rejection: No DR
28: T, Delayed rejection: No DR
29: T, Delayed rejection: No DR
30: T, Delayed rejection: No DR
31: T, Delayed rejection: No DR
32: T, Delayed rejection: No DR
33: T, Delayed rejection: No DR
34: T, Delayed rejection: No DR
35: T, Delayed rejection: No DR
36: T, Delayed rejection: No DR
37: T, Delayed rejection: No DR
38: T, Delayed rejection: No DR
39: T, Delayed rejection: No DR
40: T, Delayed rejection: No DR
41: T, Delayed rejection: No DR
42: T, Delayed rejection: No DR
43: T, Delayed rejection: No DR
44: T, Delayed rejection: No DR
45: T, Delayed rejection: No DR
46: T, Delayed rejection: No DR
47: T, Delayed rejection: No DR
48: T, Delayed rejection: No DR
49: T, Delayed rejection: No DR
50: T, Delayed rejection: No DR
51: T, Delayed rejection: No DR
52: T, Delayed rejection: No DR
53: T, Delayed rejection: No DR
54: T, Delayed rejection: No DR
55: T, Delayed rejection: No DR
56: T, Delayed rejection: No DR
57: T, Delayed rejection: No DR
58: T, Delayed rejection: No DR
59: T, Delayed rejection: No DR
60: T, Delayed rejection: No DR
61: T, Delayed rejection: No DR
62: T, Delayed rejection: No DR
63: T, Delayed rejection: No DR
64: T, Delayed rejection: No DR
65: T, Delayed rejection: No DR
66: T, Delayed rejection: No DR
67: T, Delayed rejection: No DR
68: T, Delayed rejection: No DR
69: T, Delayed rejection: No DR
70: T, Delayed rejection: No DR
71: T, Delayed rejection: No DR
72: T, Delayed rejection: No DR
73: T, Delayed rejection: No DR
74: T, Delayed rejection: No DR
75: T, Delayed rejection: No DR
76: T, Delayed rejection: No DR
77: T, Delayed rejection: No DR
78: T, Delayed rejection: No DR
79: T, Delayed rejection: No DR
80: T, Delayed rejection: No DR
81: T, Delayed rejection: No DR
82: T, Delayed rejection: No DR
83: T, Delayed rejection: No DR
84: T, Delayed rejection: No DR
85: T, Delayed rejection: No DR
86: T, Delayed rejection: No DR
87: T, Delayed rejection: No DR
88: T, Delayed rejection: No DR
89: T, Delayed rejection: No DR
90: T, Delayed rejection: No DR
91: T, Delayed rejection: No DR
92: T, Delayed rejection: No DR
93: T, Delayed rejection: No DR
94: T, Delayed rejection: No DR
95: T, Delayed rejection: No DR
96: T, Delayed rejection: No DR
97: T, Delayed rejection: No DR
98: T, Delayed rejection: No DR
99: T, Delayed rejection: No DR
100: T, Delayed rejection: No DR
