iteration,lambda1,lambda2,accepted
10,1.0699191344655972,0.1531866575518066,T
20,1.1703345946681862,0.11292750096558715,T
30,1.2511321236709112,0.06542256751297698,T
40,1.5758649603091328,0.0322179503620799,T
50,1.6626536467323536,-0.030257407540962112,T
60,1.6560821509240613,-0.046017188698982206,T
70,1.6560821509240613,-0.046017188698982206,T
80,1.6560821509240613,-0.046017188698982206,T
90,1.6560821509240613,-0.046017188698982206,T
100,1.6560821509240613,-0.046017188698982206,T
110,1.6672437564231286,-0.09108818638732191,T
120,1.7070838599465137,-0.1080507224085334,T
130,1.7144490756896953,-0.10916252306672884,T
140,1.7144490756896953,-0.10916252306672884,T
150,1.7144490756896953,-0.10916252306672884,T
160,1.7144490756896953,-0.10916252306672884,T
170,1.7144490756896953,-0.10916252306672884,T
180,1.7144490756896953,-0.10916252306672884,T
190,1.7144490756896953,-0.10916252306672884,T
200,1.7144490756896953,-0.10916252306672884,T
