iteration,lambda1,lambda2,accepted
10,-0.0749508889191855,0.010820762431053578,T
20,-1.4219767354493622,0.03085089154939978,T
30,-1.5417794058649459,0.05903629859972867,T
40,-1.704212930943445,0.08281819248581555,T
50,-1.7253696947535866,0.17774452240808508,T
60,-1.79650702892012,0.18177095064057344,T
70,-1.8260780714668954,0.2279965774736391,T
80,-2.1479107033118665,0.3723424194133908,T
90,-2.1479107033118665,0.3723424194133908,T
100,-2.3893053164394913,0.5643693758219019,T
110,-2.532990292474379,0.6749639111530281,T
