iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
10,1.5295267729777966,-0.053176049078632756,T,No DR,1.0000
20,1.6778244443437513,-0.08743828618769502,T,No DR,1.0000
30,1.7106874495776132,-0.09794381066904144,T,No DR,1.0000
40,1.7106874495776132,-0.09794381066904144,T,No DR,1.0000
50,1.7106874495776132,-0.09794381066904144,T,No DR,1.0000
60,1.7106874495776132,-0.09794381066904144,T,No DR,1.0000
70,1.7106874495776132,-0.09794381066904144,T,No DR,1.0000
80,1.7106874495776132,-0.09794381066904144,T,No DR,1.0000
90,1.7106874495776132,-0.09794381066904144,T,No DR,1.0000
100,1.711676161083885,-0.09446023617196671,T,No DR,1.0000
110,1.711676161083885,-0.09446023617196671,T,No DR,1.0000
120,1.711676161083885,-0.09446023617196671,T,No DR,1.0000
130,1.711676161083885,-0.09446023617196671,T,No DR,1.0000
140,1.711676161083885,-0.09446023617196671,T,No DR,1.0000
150,1.711676161083885,-0.09446023617196671,T,No DR,1.0000
160,1.711676161083885,-0.09446023617196671,T,No DR,1.0000
170,1.711676161083885,-0.09446023617196671,T,No DR,1.0000
180,1.711676161083885,-0.09446023617196671,T,No DR,1.0000
