iteration,lambda1,lambda2,accepted,delayed_rejection
10,1.1797768468436183,0.020160192834844437,T,No DR
20,1.5819667638839099,0.005928836912018839,T,No DR
30,1.5393838707567955,0.0032298176813993305,T,No DR
40,1.5393838707567955,0.0032298176813993305,T,No DR
50,1.6438379789842419,0.003613141646366236,T,No DR
60,1.6438379789842419,0.003613141646366236,T,No DR
70,1.6438379789842419,0.003613141646366236,T,No DR
80,1.6438379789842419,0.003613141646366236,T,No DR
90,1.6438379789842419,0.003613141646366236,T,No DR
100,1.6046718621129594,0.0010376890996126355,T,No DR
