iteration,lambda1,lambda2,accepted,delayed_rejection,acceptance_rate
10,1.296069255570382,-0.1216459800457187,T,No DR,1.0000
20,1.296069255570382,-0.1216459800457187,T,No DR,1.0000
30,1.56789019948686,-0.07286909339059915,T,No DR,1.0000
40,1.7035832316082054,-0.1309216429563895,T,No DR,1.0000
50,1.7266276730970458,-0.14102336710280247,T,No DR,1.0000
60,1.7266276730970458,-0.14102336710280247,T,No DR,1.0000
70,1.7266276730970458,-0.14102336710280247,T,No DR,1.0000
80,1.7266276730970458,-0.14102336710280247,T,No DR,1.0000
90,1.7266276730970458,-0.14102336710280247,T,No DR,1.0000
100,1.7266276730970458,-0.14102336710280247,T,No DR,1.0000
