iteration,lambda1,lambda2,accepted,reason
10,1.0843531384306822,0.08366623375401881,T,Accepted
20,1.5290300103975625,0.012972226617579873,T,Accepted
30,1.5290300103975625,0.012972226617579873,T,Accepted
40,1.5290300103975625,0.012972226617579873,T,Accepted
50,1.5038610430510453,0.0053974892493997536,T,Accepted
60,1.5038610430510453,0.0053974892493997536,T,Accepted
70,1.5038610430510453,0.0053974892493997536,T,Accepted
80,1.5038610430510453,0.0053974892493997536,T,Accepted
90,1.5038610430510453,0.0053974892493997536,T,Accepted
100,1.6009302774834255,0.001811507903079817,T,Accepted
